@T,D4,,,,
descr,observed soil water content at probe D4 depths 30cm 60cm 90cm 150cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,04.10.2002,,,,
date_end,31.01.2020,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1572,,,
x,,513672,,,
y,,4495127,,,
,22.09.2003,0.14962039,0.304817938,0.245576506,0.268456146
,23.09.2003,0.150120204,0.304589847,0.245068375,0.267891574
,24.09.2003,0.151298682,0.305035235,0.244712737,0.267422186
,25.09.2003,0.150809329,0.305114982,0.244588192,0.266966309
,26.09.2003,0.152018282,0.305111308,0.244284601,0.266566173
,27.09.2003,0.151962495,0.305546269,0.244157137,0.266228124
,28.09.2003,0.151218807,0.305194724,0.244017601,0.265909805
,29.09.2003,0.150254862,0.304264348,0.24365988,0.265614441
,30.09.2003,0.149024968,0.30303243,0.243138999,0.265335474
,01.10.2003,0.14692682,0.300872512,0.242461675,0.264985401
,02.10.2003,0.147439691,0.299121525,0.24142965,0.264590282
,03.10.2003,0.148730844,0.298742039,0.240625746,0.264092015
,04.10.2003,0.14877521,0.299117882,0.240240883,0.263594315
,05.10.2003,0.148794983,0.298734913,0.239961526,0.263126204
,06.10.2003,0.149629081,0.298835076,0.239661344,0.262671486
,07.10.2003,0.1501926,0.299321996,0.239619331,0.262259093
,08.10.2003,0.151245376,0.299834518,0.23965534,0.261888917
,09.10.2003,0.151893039,0.300749675,0.239790407,0.261599437
,10.10.2003,0.15287647,0.301781976,0.240138756,0.261380827
,11.10.2003,0.153499469,0.302743655,0.240451277,0.261220166
,12.10.2003,0.151246045,0.30164889,0.240448279,0.261059555
,13.10.2003,0.150986294,0.300282958,0.239967553,0.260972862
,14.10.2003,0.149133455,0.298967907,0.239463386,0.260732114
,15.10.2003,0.147657667,0.296856943,0.238669458,0.260517155
,16.10.2003,0.147261855,0.295141604,0.237718743,0.260202936
,17.10.2003,0.147053963,0.293899892,0.236820921,0.259773657
,18.10.2003,0.14877068,0.293690758,0.236094581,0.259344804
,19.10.2003,0.149830587,0.29460894,0.23589536,0.258868432
,20.10.2003,0.150792829,0.295443491,0.235975626,0.258459604
,21.10.2003,0.15124299,0.296396911,0.236210571,0.258127715
,22.10.2003,0.151446086,0.296885001,0.23649625,0.25787897
,23.10.2003,0.151691733,0.297334351,0.236707667,0.257687721
,24.10.2003,0.151872332,0.297712693,0.23687748,0.257541165
