,13.04.2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,14.04.2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,15.04.2016,2.9979492964851113,3.0241861451933563,3.0118896095807584,2.993312356867287,3.008341336441098,2.9944719313545036,3.0205031742305213,3.018008656281512,3.0269895637921893,2.9924502964982294,3.0002411233428394,3.014729082323907,3.0206518725682043,3.0251124340570508,2.992483673760348,3.0344072744317465,2.9962155263713077,3.0189136928625833,3.0235925291420407,3.029277823534882,3.007887771016883,3.02222054359457,3.0266764024458097,3.028705883649684,2.9993646455691465,3.0340827313223673,3.023595528232206,3.0268814201399916,3.011945762027805,3.0166615412276725,3.030162004027517,3.008695242616792,3.0390754476603816,3.017786620331015,3.033151504381829,3.0315496042388723,3.0317198277757895,3.042570990628005,3.0179671720890573,3.0198743345351993,3.038728475508824,3.033108870187063,3.0348545400692277,3.023482457298899,3.023753060902104,3.024220880809192,3.0439811041193705,3.0338498146767643,3.037126405771849,3.034506880370927,3.038821606771958,3.03942437148745,3.039797047757941,3.042145645635047,3.0391405955176687,3.0433332747883743,3.042319855252675,3.0439862115957976
,16.04.2016,13.197027898502999,14.538451272219902,13.909760667265598,12.959952964122326,13.728346482246627,13.019239059720745,14.350150329938096,14.222611968903681,14.681782938175884,12.915878009028901,13.314203179332491,14.054935689961628,14.357752897914878,14.585810066958963,12.917584503587518,15.061031625471292,13.108384640268403,14.268884188460914,14.50810119263896,14.798775841482069,13.705156835185074,14.437955059532648,14.665771794671175,14.769534009168412,13.269391098992756,15.044438561359774,14.508254528494668,14.676253828167633,13.912631599129309,14.153737400909616,14.843981742259025,13.746440805290442,15.299703454968965,14.211259835226576,14.996827295305541,14.914926213433354,14.923629310124447,15.47842168034518,14.220490987606873,14.317999354986567,15.281963650951184,14.994647517314121,15.083899180452814,14.502473499129739,14.516308773418485,14.540227215950843,15.550517198291919,15.032530125403383,15.200053898167985,15.066124223918012,15.286725215671918,15.317543043193961,15.33659703346638,15.456674872190286,15.303034299289632,15.517395331544872,15.465581767054486,15.550778330577145
,17.04.2016,9.475885296597673,9.70174379105932,9.595889728651184,9.435968452443209,9.565344611050588,9.445950586761672,9.670039134525986,9.648565211547051,9.72587686859158,9.42854745233548,9.495614364269228,9.620333176336686,9.671319196131384,9.709717698692703,9.428834778692964,9.789731829834542,9.460960230252983,9.65635617005379,9.696633679356145,9.745575228946086,9.56144011760352,9.684823015902593,9.723181036062165,9.740651715347719,9.488069252712702,9.786938018013336,9.696659496861784,9.724945919804906,9.596373113957526,9.63696864439411,9.753186648942425,9.568391193241602,9.829917546840043,9.646653827064362,9.778921601212257,9.765131730386333,9.766597090506277,9.860008739603803,9.648208097117807,9.664625801986608,9.82693065582114,9.77855458705025,9.793582091907904,9.695686131841923,9.698015608338714,9.70204281073139,9.872147625402224,9.784932967654738,9.813139325054271,9.79058928218002,9.827732371267716,9.832921238752126,9.836129402290004,9.85634718021439,9.830478368649391,9.866570821610205,9.857846854294754,9.87219159283708
,18.04.2016,0.011211994579555032,0.0,0.0,0.030100987400583167,0.0,0.03225994378561713,0.0,0.0,0.0,0.02766873761129568,0.025057378539609463,0.0,0.0,0.0,0.02435601534693851,0.0,0.02308340074575412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01642714686066614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,19.04.2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,20.04.2016,0.46050394136580963,0.4974589796534246,0.4872967153085024,0.3950358467740611,0.4486501148728518,0.3810007942350564,0.3535409124745523,0.5019780841484743,0.4452630160403089,0.40760853837237015,0.3857349178007016,0.42956124612715635,0.37382751170550255,0.3359924406273623,0.4200846217027838,0.3496644171359836,0.4139723132718508,0.4685033268921123,0.43594853628251434,0.3502706466745477,0.39808214904238365,0.39071776693833615,0.3498719937998679,0.3247499532493886,0.43471803023290273,0.305474398193798,0.4297368538735985,0.3608141629182038,0.40721970721257206,0.3694961989942489,0.30735799302513206,0.453834941820983,0.28993499078437385,0.39717201602313035,0.3042636867833498,0.3215062511994768,0.29247183381623854,0.28608678005470056,0.44455143381451334,0.41336042931761396,0.25901607395479326,0.3211832764814691,0.31234399005195457,0.4212460880408667,0.41092382196758254,0.3908000163663199,0.3193814680475094,0.2958854806104463,0.3132469065278996,0.2876800300694056,0.2864433932361392,0.312139774800214,0.2603954058350063,0.2875487055467774,0.2549998926295374,0.2964737107107769,0.25970479125971135,0.3222223292254678
,21.04.2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,22.04.2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,23.04.2016,0.43194442750058915,0.5184751653162455,0.49956325231175663,0.27851012046461876,0.45453285978799696,0.2692860354342914,0.4417344749904326,0.5138494168798811,0.5262441534206038,0.28222407429624957,0.3425854092101977,0.46876740760798596,0.4648614165285283,0.43695187044469425,0.3068524774326723,0.5483448981088691,0.33598967594981494,0.49995579275522,0.521562547314372,0.544421711128888,0.43778936289048653,0.48990297860298626,0.5056875287116082,0.40968140106856776,0.3912697773786912,0.6203176606280887,0.521925599991869,0.5350066224983867,0.4643815722832778,0.43943105174929387,0.3967098176801889,0.4719606295861374,0.5661653372386507,0.46850393901276227,0.6038550610881305,0.4242611244488438,0.34994691681862927,0.40289186052061865,0.48867420596594735,0.5129607558274331,0.7293421873502064,0.5044220687340835,0.3919314105300191,0.5214065890729611,0.5252182247179357,0.5260891033754778,0.3786386357132438,0.5812701351030543,0.4436335423074435,0.6368475407999409,0.5625570289512908,0.42355999136488065,0.6980922589209458,0.3867706173897319,0.7542017654742719,0.36394201303869417,0.2946908698152459,0.37824377110934626
,24.04.2016,0.026607184856970913,0.0036178810319598582,0.008083693772534368,0.08990529235235074,0.023440668147518474,0.08206134927059786,0.033987481231902206,0.004647409202630157,0.00908293599370019,0.0898545892825165,0.056750348223584865,0.016881380212645427,0.029281072196946017,0.02416324976479189,0.0790971533353233,0.021656746334577218,0.06611077673566036,0.007012952878826602,0.008623520596690325,0.011992101432131991,0.04898024978701834,0.02225252946614025,0.01405885877407095,0.02440193835634932,0.04461331929768807,0.010912400824868407,0.009562452323770846,0.020761514454947547,0.03712678575633546,0.037790009799820966,0.009503748192202413,0.01647828939159737,0.023398636538877828,0.02857902808614811,0.010090192740713905,0.019375997601995234,0.009320174856947715,0.05098775668858024,0.010956008313623847,0.008640829897082385,0.002439483914757489,0.013999615667628994,0.023296308564139542,0.010112283070825567,0.017551641438250578,0.01876225860741207,0.010869618121472902,0.0,0.025313288466845645,0.008136371641018186,0.014582437235445046,0.0264946305472908,0.003231822415012305,0.01587563714976223,4.896759964119931E-4,0.014910675319784086,0.003521101116158377,0.006781156619483734
,25.04.2016,2.1340106184923484,2.3975936835474565,2.375710878326756,2.04718064335142,2.2705481564214214,2.0441672134692843,2.2067626192370593,2.402064399816316,2.3287572230370777,2.0485246112143165,2.063474488773206,2.2625270601266463,2.2262356266351144,2.176133067018657,2.054563589203387,2.2192734402300216,2.091271547491141,2.339958073161808,2.3136239937183998,2.2171001595520266,2.2137600533766952,2.2493464671864642,2.1952405826635073,2.1572948350185537,2.1508231113825476,2.143040922921227,2.294274463760095,2.2350343718181334,2.235684736907312,2.2182414054231026,2.1205204743865655,2.3093986543228264,2.153644000401961,2.2525547953259473,2.146507038012497,2.1613150090264988,2.097243494934771,2.222291707751709,2.297339133573053,2.276881404107646,2.0510867627558604,2.156196339998157,2.137122750635359,2.2815275294590984,2.2870240956656294,2.2738970313631968,2.1535230345445937,2.1231017750584007,2.1504332273208777,2.1165902478491643,2.120425830906959,2.1624800186174005,2.065781477427224,2.201183106371252,2.0363453861854595,2.1968227376591067,2.264129213146232,2.144139910786739
,26.04.2016,5.832120182227692,5.845968146119054,5.821507209045255,5.567398791178864,5.7269231519184745,5.576952343696399,5.665848656881219,5.835582347282837,5.7898012720864065,5.584617112052097,5.588353510923906,5.711742948865982,5.67314312256272,5.641146987412329,5.633355943571198,5.722729584753139,5.641173999122355,5.7809170189043675,5.776027441940862,5.69051445806528,5.665330466175426,5.686899046268024,5.654507065806228,5.576178194741365,5.7075502881878695,5.576033640078616,5.7603479465094845,5.698739127563322,5.685489029564242,5.67155393497655,5.492426897556479,5.7668094827322,5.673756603623401,5.68926120925653,5.586799701807673,5.6406128863515494,5.540420849603215,5.964629362203662,5.742869105186009,5.760556395393406,5.387542558715189,5.616646593992088,5.64575062243102,5.749991325313502,5.747980814489768,5.736913597878622,5.996602028606826,5.560800580388332,5.704997687702776,5.53216856265786,5.624494321749117,5.7653861066419685,5.434711327736642,5.910713395175466,5.346536062196053,5.96949464739708,6.041530659284873,5.979884910203681
,27.04.2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,28.04.2016,0.6223555338621799,0.7452988514158105,0.7411216722710893,0.6457275549835658,0.69016005824733,0.6383111467994406,0.6006729247740269,0.748132962916236,0.7037706671068652,0.6430918016761963,0.6124271447235311,0.6773414761529206,0.623055443638229,0.5739515191425871,0.6340561729759295,0.636856523540797,0.6467434059176109,0.717311043670197,0.6971328482167034,0.6237421919734355,0.6456453963652208,0.6430659648929109,0.6064758788958615,0.54228399662233,0.6580379134932043,0.5772106784973605,0.6833654165628743,0.6406634422568409,0.6545360288395335,0.6154391685619254,0.5200005051962681,0.6970220576177925,0.584947032893858,0.646964429212307,0.5747346929518422,0.5585943921205767,0.519867136391285,0.661278190355131,0.69391217951936,0.6646121835323158,0.5166607180474906,0.5768436793670797,0.5524198039925389,0.6751586278573798,0.6653579883917475,0.6681466499907291,0.6600056079483309,0.566322787239798,0.5722090999616927,0.5547186176149513,0.5544249872586033,0.5842576300458655,0.5201782761485563,0.6073995624064049,0.5097185642712955,0.638608994335015,0.5992027195230448,0.6540017099617704
,29.04.2016,10.300555678656645,10.767354868638902,10.753739891795878,10.14371870569441,10.662811679377073,10.061649903767378,10.59261366353232,10.760075448826328,10.74094632365,10.156531755986355,10.226075788184682,10.671056248514567,10.616810961048682,10.506919183540319,10.16440359416611,10.752211443420965,10.217361251293536,10.72110687587649,10.729375530374748,10.71000323147599,10.604954030612992,10.656291646702513,10.680339367928285,10.224946129735851,10.326575292916667,10.706029373886343,10.72385750860786,10.729127610086914,10.630871505804285,10.589808129507798,10.069718450598554,10.636836311992582,10.741571083344988,10.642670169162754,10.694948785100157,10.476279223596418,10.387884044382206,10.877385121467055,10.70197658163955,10.673556678083326,10.675343555669102,10.652246234234708,10.54020446015712,10.716876890337865,10.709070061335273,10.746315710078438,11.012238238578194,10.696438677668926,10.651738684669636,10.688023722087733,10.700073596583083,10.721594711913994,10.678977943340195,10.81890855124161,10.66946708663903,10.92446586285346,10.800658972507291,11.009870721452252
,30.04.2016,3.997904896043923,3.4715596147819796,3.4748556680995173,3.4783448519655624,3.5190446436428213,3.406542519337435,3.3319682894319347,3.4551808501428707,3.492589235971813,3.5546653606861716,3.4718465358875363,3.4822725378774355,3.380744574706736,3.3023226573873963,3.6652747217311936,3.567630916867513,3.5586837298393204,3.474664002591449,3.480653467956786,3.497779611265954,3.50133727210803,3.4229125280834465,3.4535056778507536,3.2402837727952356,3.608929727271629,3.659372111885118,3.483610928179595,3.459014008629235,3.5133597280934485,3.3435582531599786,3.1819929807390794,3.5195349822161965,3.6182875983625924,3.3957015782191147,3.593433927234988,3.2707772973311817,2.9728969559305973,3.472777584902749,3.4821034814342973,3.524105132835955,3.779842506747477,3.4446149772423458,3.169530564506558,3.483880970651354,3.4450789805514557,3.445949489631487,3.931163823146804,3.598662614645173,3.3784929625885916,3.6426413078183666,3.612251687893071,3.4015132677685216,3.7473131199147214,3.514754200804107,3.8029621572573595,3.625291241106009,3.358057118614158,3.953599510770622
,01.05.2016,0.3958353616717933,0.5119897809571228,0.4987980515762765,0.4433084310178872,0.47938750123638874,0.44030773559548114,0.4793352135870446,0.5119784081206432,0.5066740878112708,0.43468932887605943,0.4398760735040477,0.48439468970003063,0.48982413307080763,0.46149844036323684,0.42237755704637336,0.5002455405518337,0.44173131388510156,0.4999152011709628,0.4989898887104508,0.5022666215151232,0.4705006978796611,0.4973059889876134,0.48540633249182097,0.43433565194398144,0.44632604269425796,0.5013786132527432,0.49634141339197846,0.4990809490093831,0.4757885564730744,0.483710476763447,0.4243439106318504,0.4849404470050426,0.4999901730014443,0.49537747916535646,0.5034225695321746,0.467163611491048,0.4542208566566054,0.49614670495304125,0.49237332738970696,0.4874738538764751,0.5066364242752026,0.4824053901227223,0.4660198929681744,0.4944847365081958,0.5027396999798182,0.5014996607842236,0.4635483087543625,0.4957344409675971,0.47915851148098687,0.5043444075879872,0.4964442574520416,0.481738603732255,0.5075130372210507,0.4923100096663318,0.5076815230715149,0.48353213070307555,0.5059461865229469,0.46020098086178807
,02.05.2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,03.05.2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,04.05.2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,05.05.2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,06.05.2016,0.04199709353728771,0.036434340598326294,0.027949843647271946,0.0615990140391115,0.08782558732819126,0.023524102056197826,0.13551114728888472,0.024923510934560765,0.1497382096076941,0.05173751051915688,0.08777613266662361,0.12783909003521857,0.1827877374246004,0.08977185068445827,0.04805758874411817,0.3484415488285507,0.06931728982320277,0.08423394173198989,0.14824619474875456,0.36450656443952467,0.11670478613567681,0.2117861014238243,0.25372091268062735,0.006166730301009577,0.07028544372670147,0.5959338234587609,0.17332500860931302,0.2971285764479924,0.1334325163410658,0.13342919574488954,0.01161063114161183,0.06375266608125364,0.49551419418499865,0.16805845702059286,0.580380856647898,0.09582135340626656,0.00462547409743631,0.12283825542992559,0.12031166820352888,0.1728711532005705,0.9332320025796222,0.30366825304035644,0.07029085151762844,0.18797873751641106,0.20709788856588396,0.2262127119896766,0.017816985598366863,0.5474086410727721,0.20541292989117435,0.6835523379593381,0.5353714493742805,0.16561768754810952,0.8644799379669761,0.16084851297439426,0.9968241360129025,0.07722788642629722,0.05735781937827943,0.016799518585224455
,07.05.2016,10.761925976135673,10.452945331095336,10.441268857412632,10.895139581565896,10.463454616025132,10.814563743274391,10.36360516642047,10.434702566211211,10.470298979534583,10.9023063372331,10.626127146988425,10.414705178217815,10.38311867848221,10.296075125263103,10.88946073278061,10.555209486037093,10.824387015270908,10.414414304246588,10.442516382923113,10.505041065408788,10.63846500357351,10.394039067188249,10.376459940876762,10.111441559686977,10.741170764533162,10.626814954672787,10.442055301527967,10.460290304491034,10.611231968274833,10.39202869428597,9.964977788134199,10.456420950991182,10.510250428491096,10.402795321919912,10.596573477050102,10.313220566548575,10.317634865736304,10.206649724381137,10.409679724877488,10.391109824793082,10.833894574380103,10.359471759702378,10.419877175976309,10.440317479769874,10.450156677487929,10.451378512700922,11.065002507000907,10.502932148640793,10.430527823769173,10.651985032869478,10.450836059865013,10.414512742416072,10.722985880032068,9.807216041429145,10.899103944982674,10.07426298169959,8.74223395157259,11.052662712151417
,08.05.2016,6.0798688093694135,5.974843827275028,6.012538546165189,6.112327862102109,5.70837778650606,6.063121618275558,4.840569389371091,6.043590699236935,5.549060325560718,6.124533232483307,5.793763649525578,5.545533302871256,5.008898836726395,4.616066883794244,6.118800273501899,4.872933500713132,6.082789539196095,5.811630994347441,5.580309643015976,4.978337513175579,5.476890119739806,5.172890737259648,4.78002520965023,4.553686566394846,6.065182368527923,4.765586360822996,5.483513636253111,5.005944533257259,5.542233293456502,4.943329988607782,4.519818320003515,5.8394655990178075,4.417616894554904,5.206555059012397,4.764533417781684,4.505928223152635,4.544703089441001,3.774877306535203,5.645719658739806,5.337415362275143,4.746240244106209,4.567867773266476,4.464938389405846,5.41944430823339,5.291267013276317,5.213391676458549,4.004508692406119,4.625666110593551,4.305172720121147,4.720935901137201,4.276582867387281,4.194701339437168,4.620244201291138,3.5533164834883695,4.804659739252888,3.5774713361275206,2.8087210747586915,3.9866467211845764
,09.05.2016,0.8392325483369959,0.9197964194387663,0.9158622279190738,0.7415247156456323,0.8636511767985008,0.7237842562354643,0.7889600854418487,0.9260168880159608,0.865563168556032,0.7534390750809785,0.7210503690653276,0.8493572123875615,0.8060496576848029,0.7598186831282416,0.7673070756875422,0.7874674270045398,0.7692290583971844,0.8913800583256815,0.8731518542925483,0.7880814815429307,0.8307877488970763,0.8230565101560469,0.7848873225360654,0.720860477492594,0.8045448940005118,0.7473242649521251,0.8612393236327235,0.8141495307054891,0.8414090395805021,0.7997945932873034,0.6868773573224697,0.8850449447683083,0.7411916969945936,0.8259712162522658,0.748160743291883,0.7382200702701776,0.718899250262817,0.751286253846524,0.8671849049524943,0.8497186426913481,0.7079036313179348,0.7589507546230919,0.7384942773043099,0.8533089769015778,0.8482625635197519,0.839550933823263,0.6156009457390845,0.7284601755847165,0.7353339881394194,0.7336019606654779,0.7200685551291874,0.7347240742738717,0.7100471707609456,0.7233581211171654,0.7037899839766557,0.69351574819235,0.7532053258373577,0.6104536414810247
,10.05.2016,2.935519492103107,3.2200304749483726,3.2070860731938375,2.7872023811577193,3.1463543055749845,2.787202872941123,3.3010504617778946,3.2135362149976054,3.2267967806819446,2.79603040134361,2.877680418109252,3.162228761832063,3.2519095510195015,3.3658148065019433,2.8113687079864307,3.2316117437775,2.848538302699603,3.18850104168887,3.215909317100604,3.201689918794115,3.2103168194140674,3.2216954339988995,3.2721722231071952,3.408093179484431,2.9272639317481763,3.1766816928081782,3.2151879847779825,3.2531338160549392,3.209015317220232,3.2832753393025382,3.3649313241461827,3.1632618908163415,3.206863395298564,3.229415518052844,3.169644801158641,3.3446843768617747,3.3533354221110026,3.293670763564925,3.1752217895831234,3.22038127484275,3.1186874038065855,3.268584802864987,3.361588024684443,3.215015116569333,3.2516298224028377,3.2540769475943208,3.2948389005753858,3.160974445058779,3.308856961811976,3.1534882605599193,3.191177967037319,3.306395898466863,3.121800771025166,3.19200345452387,3.109547000699028,3.2208581851487885,3.078200294976727,3.292302100995142
,11.05.2016,0.05497393033023511,0.11950277522242199,0.11211691065424631,0.04720083988902535,0.07431697519519923,0.05107353521648157,0.023318424001226093,0.12143468074186736,0.09149298653542703,0.043668285634411885,0.038048380256676,0.06995879075982221,0.037502138982603656,0.013984925123478714,0.0430310762560214,0.04575783174644171,0.056713625026656875,0.09884023150305228,0.08533596381569754,0.043337220150989536,0.0407956870293153,0.051915835211837125,0.03456573366661081,9.925773987650415E-4,0.06866911103790613,0.025539585506217894,0.07762635293554691,0.0443208952011434,0.05211497964327135,0.02899748052318676,0.0015852068584153514,0.08882297125036809,0.01765160684697249,0.05146003518222952,0.021317625218916867,0.010085678471149186,6.644283184818072E-4,0.01570469963025575,0.08276639965703762,0.06467078611765868,0.0026078223503667496,0.019814578378957535,0.0027127230155810766,0.07255610828175983,0.06645189493784,0.06047272260032366,0.04254109854179967,0.020312757464876364,0.005781628498686763,0.013770307564945647,0.004971381195445833,0.008268423101908954,0.0033716342020718207,0.010716778211268868,5.240174932562327E-4,0.020454865764115343,0.0033243072422657442,0.04377119150295048
,12.05.2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,13.05.2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,14.05.2016,0.6252981054209678,0.6220302612202893,0.6255457765963108,0.5216135455618822,0.598940189485363,0.5133551170750325,0.5716763503857598,0.6307670764049047,0.5762878605831873,0.535924247888552,0.5094871223893214,0.5861965096046722,0.5641161198233628,0.5769159970483511,0.5537270116220746,0.5022088916037972,0.5447565074547397,0.6090036290155363,0.5910579098750308,0.5218084448957622,0.6090059601072084,0.5644787600533071,0.5445360392067395,0.6067844686679142,0.5703845498615935,0.49595364667834785,0.5829517967095946,0.5497386327099031,0.6105820333208345,0.5720538695329319,0.5915959307398974,0.6113015668986822,0.4532037577315142,0.5700934137483076,0.49920247721124256,0.5587476786918739,0.5668867848664945,0.36938406454132733,0.5944097911774942,0.5880724888477993,0.4979108248916385,0.526377722632416,0.5471710619656384,0.5778253178159808,0.5718706003406272,0.5663679270072404,0.33470055814868716,0.4870668715312176,0.49572303936974793,0.49482050586100496,0.4543977384419778,0.47176232341333774,0.4842742641065256,0.3585252353071718,0.5053653154622818,0.3376708099229269,0.28053117301460356,0.3332684753831459
,15.05.2016,0.04471017033839264,0.12219555456227991,0.11493719002090405,0.026649764093657668,0.07431697519519923,0.02754943316028375,0.057398122443134365,0.12362649617941533,0.09799889375654308,0.02504226843966653,0.038048380256676,0.06995879075982221,0.061663249909912975,0.04814049173830445,0.025686106191484512,0.06239406465075995,0.038676456597285996,0.09884023150305228,0.09395948441238786,0.055329321583121524,0.06550275341478447,0.06810828863494985,0.051435296225333674,0.03809259191443021,0.05447465986890294,0.03302493812158657,0.08718880525931776,0.0697938756909529,0.07166205917443726,0.06159698134685257,0.015672481724364896,0.08882297125036809,0.0356078049025925,0.070380298424216,0.03140781795963077,0.03694480817098812,0.014718789027304335,0.055658593587174815,0.08276639965703762,0.07791907730716055,0.004225411491344039,0.036356392886671446,0.033309342443925395,0.0826683913525854,0.08766024119721416,0.0832903445474031,0.01181666974833123,0.01619976952570776,0.03373465883271169,0.021906679205963835,0.017430354170584562,0.03473791892972071,0.005183702071995642,0.018147338676460505,8.262388566108526E-4,0.016353472480648973,0.004537364199858798,0.00711839219728665
,16.05.2016,12.977760524588945,13.380443558366832,13.384161832812964,12.748718755686506,13.174868480676466,12.665410022643057,12.698588522406657,13.401100632491863,13.203802530246604,12.773010941136752,12.754815172175624,13.12638970945613,12.878933982466764,12.467649134676174,12.795358522424587,12.938564475932477,12.83153819730737,13.299347908550226,13.188570631567556,12.916512255108405,12.864842973725649,13.020067915731124,12.826745193842013,12.187046309764204,12.950500503972489,12.854146487353148,13.14027980209728,12.943895459646484,12.940734279994132,12.775105336545716,12.09277877117208,13.26361144686602,12.856790509847775,13.001035962979635,12.822616367635128,12.35010621990951,12.05488035563933,12.920725755432535,13.208750579435664,13.104165111663201,12.736176362101464,12.727836060447789,12.272352313623317,13.106497101518435,13.07706115111385,13.03931802266601,12.343339200028902,12.801710370881416,12.527574127070125,12.791192021541642,12.795079925943094,12.584601130201145,12.771752870851067,13.108496577350108,12.709404515532347,12.943524722969222,13.760713095109809,12.35320573324318
